address,amount_in_dz,brand,city,current_price,localToIowa,original_price,product,source,state,true_amount,vendor,vendorAddress,weight,weight_lbs,zip
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$0.99,False,- -$0.99,-Green Onions - 1 Each,Fresh Thyme Market,IA,1 dz,,1603 Colley Ave Norfolk VA 23517,,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.49,False,- -$4.49,-Godshalls Uncured Pork Bacon - 8 Ounce,Fresh Thyme Market,IA,,,8 Bacon St Bethelsdorp EC 6059,-$0.56/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Strawberries - 16 Ounce,Fresh Thyme Market,IA,,,,-$0.19/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.99,False,- -$6.99,-Cascadian Farm Organic Strawberries - 10 Ounce,Fresh Thyme Market,IA,,,1480 County Road 32 Crysler North Stormont Ontario K0A 1R0,-$0.70/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.19,False,- -$4.19,-Wyman's Strawberries - 15 Ounce,Fresh Thyme Market,IA,,,,-$0.28/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Organic Strawberries - 16 Ounce,Fresh Thyme Market,IA,,,1480 County Road 32 Crysler North Stormont Ontario K0A 1R0,-$0.31/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Strawberries - 32 Ounce,Fresh Thyme Market,IA,,,1480 County Road 32 Crysler North Stormont Ontario K0A 1R0,-$0.16/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.49,False,- -$6.49,-Delallo Italian Garlic Mushrooms - 7 Ounce,Fresh Thyme Market,IA,,,6390 State Route 30 Jeannette PA 15644,-$0.93/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Somos Smoky Chipotle Mushrooms - 10 Ounce,Fresh Thyme Market,IA,,,10 Mushroom Rd Olive Hill KY 41164,-$0.40/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.99,False,- -$5.99,-Napoleon Marinated Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,8 Napoleon St Melbourne VIC 3066,-$0.75/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Shitake Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Forest Blend Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,5 Forest Road London ENG E17 6GW,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Portabella Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,5 Portabella Dr Hardeeville SC 29927-4945,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$11.99,False,- -$11.99,-That's Tasty Dried Morel Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$23.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Oyster Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$7.98/oz,,50266
