address,amount_in_dz,brand,city,current_price,localToIowa,original_price,product,source,state,true_amount,vendor,vendorAddress,weight,weight_lbs,zip
200 Railroad Street,,Rahe of Sunshine Farms,Decorah,$6.00,False,,"RSF Green Butterhead Lettuce, 8 oz",Iowa Food Hub,IA,,Rahe of Sunshine Farms,43 Market Place Romford England RM1 3AB,8 oz,0.5,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$7.50,True,,"IFH Potatoes, Red, 10lb bag",Iowa Food Hub,IA,,Iowa Food Hub,124 E Elm St West Union IA 52175,10 lb bag,10,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$55.00,True,,"IFH Sweet Potatoes, Orange, 40lb case,",Iowa Food Hub,IA,,Iowa Food Hub,124 E Elm St West Union IA 52175,40 lb,40,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$30.00,True,,"IFH Conventional Potatoes, 50lb bag",Iowa Food Hub,IA,,Iowa Food Hub,124 E Elm St West Union IA 52175,50 lb bag,50,52101
200 Railroad Street,,Winneshiek Beef Pork & Poultry,Decorah,$18.00,False,,WBP Pork Bacon,Iowa Food Hub,IA,,Winneshiek Beef Pork & Poultry,51 N 12th St Philadelphia PA 19107,3 lb,3,52101
200 Railroad Street,,Fiddlehead Knob,Decorah,$45.00,False,,"FHK Powdered Lion's Mane Mushrooms, 4 oz",Iowa Food Hub,IA,,Fiddlehead Knob,Fiddlehead Ln Ghent NY 12075,4 oz,0.25,52101
200 Railroad Street,,Fiddlehead Knob,Decorah,$10.00,False,,"FHK Mushrooms, Lion's Mane, 1/2 lb",Iowa Food Hub,IA,,Fiddlehead Knob,Fiddlehead Ln Ghent NY 12075,0.5 lb,0.5,52101
200 Railroad Street,,Reconnected Farms,Decorah,$8.00,False,,"RCF Mushrooms, Lion's Mane, 1/2 pound",Iowa Food Hub,IA,,Reconnected Farms,,0.5 lb,0.5,52101
200 Railroad Street,,Fiddlehead Knob,Decorah,$10.00,False,,"FHK Dried King Trumpet Mushrooms, 1 oz",Iowa Food Hub,IA,,Fiddlehead Knob,Fiddlehead Ln Ghent NY 12075,1 oz,0.0625,52101
200 Railroad Street,,Fiddlehead Knob,Decorah,$10.00,False,,"FHK Mushrooms, Chestnut, 1/2 lb",Iowa Food Hub,IA,,Fiddlehead Knob,Fiddlehead Ln Ghent NY 12075,0.5 lb,0.5,52101
200 Railroad Street,,Fiddlehead Knob,Decorah,$10.00,False,,"FHK Dried Oyster Mushrooms, 1 oz",Iowa Food Hub,IA,,Fiddlehead Knob,Fiddlehead Ln Ghent NY 12075,1 oz,0.0625,52101
200 Railroad Street,,Reconnected Farms,Decorah,$8.00,False,,"RCF Mushrooms, Chestnut, 1/2 pound",Iowa Food Hub,IA,,Reconnected Farms,,0.5 lb,0.5,52101
200 Railroad Street,,Reconnected Farms,Decorah,$6.00,False,,"RCF Mushrooms, Oyster, 1/2 pound",Iowa Food Hub,IA,,Reconnected Farms,,0.5 lb,0.5,52101
200 Railroad Street,,Fiddlehead Knob,Decorah,$10.00,False,,"FHK Dried Chestnut Mushrooms, 1 oz",Iowa Food Hub,IA,,Fiddlehead Knob,Fiddlehead Ln Ghent NY 12075,1 oz,0.0625,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$5.00,True,,"IFH Sweet Potatoes, Orange, 3 lbs",Iowa Food Hub,IA,,Iowa Food Hub,124 E Elm St West Union IA 52175,3 lb,3,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$5.00,True,,"IFH Driftless Organics Potatoes, various",Iowa Food Hub,IA,,Iowa Food Hub,124 E Elm St West Union IA 52175,2 lb bag,2,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$5.00,True,,"IFH Rainbow Carrots, 2 lb or 5lb bag",Iowa Food Hub,IA,,Iowa Food Hub,124 E Elm St West Union IA 52175,5 lb bag,5,52101
200 Railroad Street,,Humble Hands Harvest,Decorah,$6.00,False,,"HHHa Carrots, various",Iowa Food Hub,IA,,Humble Hands Harvest,Harvest Spring Dr Kingwood TX 77345,5 lb,5,52101
200 Railroad Street,,Rahe of Sunshine Farms,Decorah,$6.00,False,,"RSF Five Star Lettuce Mix, 8 oz.",Iowa Food Hub,IA,,Rahe of Sunshine Farms,43 Market Place Romford England RM1 3AB,8 oz,0.5,52101
200 Railroad Street,,Patchwork Green Farm,Decorah,$2.00,True,,"PGF Head Lettuce, soil-grown",Iowa Food Hub,IA,,Patchwork Green Farm,3031 Middle Hesper Rd Decorah IA 52101,,,52101
2900 University Ave. Suite 240,,,West Des Moines,- -$7.99,False,- -$7.99,-Natierra Organic Freeze Dried Raspberries - 1.3 Ounce,Fresh Thyme Market,IA,,,,-$6.15/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.49,False,- -$6.49,-Jonny Pops Raspberries & Blueberries Pops - 8.24 Fluid ounce,Fresh Thyme Market,IA,,,3600 Alabama Ave S St Louis Park MN 55416,-$0.79/fl oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.99,False,- -$6.99,-Fresh Thyme Organic Frozen Raspberries - 10 Ounce,Fresh Thyme Market,IA,,,,-$0.70/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Chocolove Raspberries In Dark Chocolate Bar - 3.2 Ounce,Fresh Thyme Market,IA,,,,-$0.93/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Raspberries - 6 Ounce,Fresh Thyme Market,IA,,,5695 State Highway 55 Greenfield MN 55373,-$0.67/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Organic Raspberries - 6 Ounce,Fresh Thyme Market,IA,,,,-$0.83/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$14.99,False,- -$14.99,-Certified Angus Beef Steak Burgers 6 Ct - 32 Ounce,Fresh Thyme Market,IA,,,251 E 1995 Rd Boswell OK 74727,-$0.47/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.49,False,- -$2.49,-Epic Wagyu Beef Steak Strip - 0.8 Ounce,Fresh Thyme Market,IA,,,,-$3.11/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.99,False,- -$6.99,-Cascadian Farm Organic Strawberries - 10 Ounce,Fresh Thyme Market,IA,,,1480 CR-32 North Dundas ON K0A,-$0.70/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.19,False,- -$4.19,-Wyman's Strawberries - 15 Ounce,Fresh Thyme Market,IA,,,,-$0.28/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Organic Strawberries - 16 Ounce,Fresh Thyme Market,IA,,,1480 CR-32 North Dundas ON K0A,-$0.31/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.98,False,- -$5.98,-Strawberries - 32 Ounce,Fresh Thyme Market,IA,,,1480 CR-32 North Dundas ON K0A,-$0.19/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Strawberries - 16 Ounce,Fresh Thyme Market,IA,,,1480 CR-32 North Dundas ON K0A,-$0.19/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.49,False,- -$4.49,-Somos Smoky Chipotle Mushrooms - 10 Ounce,Fresh Thyme Market,IA,,,10 Mushroom Rd Olive Hill KY 41164,-$0.45/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.49,False,- -$6.49,-Delallo Italian Garlic Mushrooms - 7 Ounce,Fresh Thyme Market,IA,,,6390 State Route 30 Jeannette PA 15644,-$0.93/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.99,False,- -$5.99,-Napoleon Marinated Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,,-$0.75/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Forest Blend Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,5 Forest Road London ENG E17 6GW,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Shitake Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Porcini Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Portabella Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Oyster Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-That's Tasty Dried Chanterelle Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,5 Chanterelle Dr Conception Bay South NL A1W,-$9.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$11.99,False,- -$11.99,-That's Tasty Dried Morel Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$23.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Highline Organic Whole White Mushrooms - 16 Ounce,Fresh Thyme Market,IA,,,16th Ave SW Seattle WA 98106,-$0.25/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.00,True,- -$2.00,-Highline Organic Mini Bella Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,1110 N Quincy Ave Ottumwa IA 52501,-$0.25/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,True,- -$4.99,-Highline Organic Mini Bella Mushrooms - 16 Ounce,Fresh Thyme Market,IA,,,1110 N Quincy Ave Ottumwa IA 52501,-$0.31/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Highline Organic White Stuffer Mushrooms - 14 Ounce,Fresh Thyme Market,IA,,,,-$0.28/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.69,False,- -$2.69,-Highline Organic Sliced White Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,10829 8th Ave SW Seattle WA 98146,-$0.34/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Highline Organic Saute Blend Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,Highline Rd Bend OR 97703,-$0.62/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.00,False,- -$2.00,-Highline Organic White Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,8th Ave SW Seattle WA 98146,-$0.25/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Highline Organic Sliced Bella Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,, Burien WA 98168,-$0.37/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$7.99,False,- -$7.99,-Mycopia Trumpet Royale Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,8 Trumpet Street Manchester ENG M1 5LW,-$1.00/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.99,False,- -$6.99,-Maitake Frondosa Mushrooms - 4 Ounce,Fresh Thyme Market,IA,,,,-$1.75/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Alba Mushrooms - 4 Ounce,Fresh Thyme Market,IA,,,1735 256 St Langley Twp BC V4W 2E1,-$1.25/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Brown Mushrooms - 4 Ounce,Fresh Thyme Market,IA,,,314 W 4th St Winston Salem NC 27101,-$1.25/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Highline Organic Shiitake Mushrooms - 4 Ounce,Fresh Thyme Market,IA,,,,-$1.00/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$9.99,False,- -$9.99,-Chef's Sampler Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,,-$1.25/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Highline Organic Oyster Mushrooms - 3 Ounce,Fresh Thyme Market,IA,,,,-$1.33/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.49,False,- -$5.49,-Happy Tot Organic Bananas & Carrots Fiber & Protein Oat Bar - 4.4 Ounce,Fresh Thyme Market,IA,,,1100 N Peters St New Orleans LA 70116,-$1.25/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Fullgreen Riced Cauliflower With Peas And Carrots - 6.7 Ounce,Fresh Thyme Market,IA,,,7 Cauliflower Pasig NCR 1604,-$0.60/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$0.99,False,- -$0.99,-Fresh Thyme Sliced Carrots - 15 Ounce,Fresh Thyme Market,IA,,,6569 N Illinois St Fairview Heights IL 62208,-$0.07/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,"-Birds Eye Broccoli, Carrots, Snap Peas & Water Chestnuts - 10.8 Ounce",Fresh Thyme Market,IA,,,209 Main St Bathurst NB E2A 1A9,-$0.37/oz,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$3.99,False,- -$3.99,-Organic Baby Peeled Carrots 2 Lb Bag - 1 Each,Fresh Thyme Market,IA,1 dz,,200 Santa Monica Pier Santa Monica CA 90401,,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$24.99,False,- -$24.99,-Organic Juicing Carrots 25 Lb Bag - 25 Pound,Fresh Thyme Market,IA,,,   ,-$1.00/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Braga Farms Broccoli & Carrots - 12 Ounce,Fresh Thyme Market,IA,,,,-$0.33/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.49,False,- -$2.49,-Organic Cut & Peeled Petite Carrots - 12 Ounce,Fresh Thyme Market,IA,,,,-$0.21/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.49,False,- -$3.49,-Sno Pac Organic Peas And Carrots - 10 Ounce,Fresh Thyme Market,IA,,,226 Calle Río Colorado Oriente Del Valle NL 66220,-$0.35/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.49,False,- -$2.49,-Organic Rainbow Baby Carrots - 12 Ounce,Fresh Thyme Market,IA,,,12 Babe Jackson Dr Rainbow City AL 35906-8510,-$0.21/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.49,False,- -$3.49,-Organic Bag Rainbow Carrots - 2 Pound,Fresh Thyme Market,IA,,,348 Danforth Ave Toronto ON M4K 1N8,-$1.75/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$1.99,False,- -$1.99,-Organic Shredded Carrots - 10 Ounce,Fresh Thyme Market,IA,,,226 Calle Río Colorado Oriente Del Valle NL 66220,-$0.20/oz,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$2.99,False,- -$2.99,-Organic Bunched Carrots - 1 Each,Fresh Thyme Market,IA,1 dz,,226 Calle Río Colorado Oriente Del Valle NL 66220,,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$0.20 avg/ea,False,- -$0.20 avg/ea,-Organic Loose Carrots - 0.2 Pound,Fresh Thyme Market,IA,,,2 Carrots Pasig NCR 1604,-$0.99/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.99,False,- -$5.99,-Organic Bag Carrots - 5 Pound,Fresh Thyme Market,IA,,,348 Danforth Ave Toronto ON M4K 1N8,-$1.20/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$1.99,False,- -$1.99,-Fresh Thyme Peas And Carrots - 10 Ounce,Fresh Thyme Market,IA,,,10 Peasland Road Torquay ENG TQ2 8NY,-$0.20/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$7.49,False,- -$7.49,-Alexia Baby Heirloom Potatoes With Steak Seasoning - 16 Ounce,Fresh Thyme Market,IA,,,16 Ounce St Dunkirk NY 14048-1236,-$0.47/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.49,False,- -$2.49,-Organic Bag Carrots - 2 Pound,Fresh Thyme Market,IA,,,348 Danforth Ave Toronto ON M4K 1N8,-$1.25/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$7.49,False,- -$7.49,-Alexia Baby Golden Potatoes With Himalayan Salt - 16 Ounce,Fresh Thyme Market,IA,,,,-$0.47/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.49,False,- -$6.49,-Via Emilia Straight Fried Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,24 Via Emilia Est Parma 45 43121,-$0.27/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$7.49,False,- -$7.49,-Alexia Baby Sunrise Potatoes With Rosemary And Garlic - 16 Ounce,Fresh Thyme Market,IA,,,16 Sunrise Ave Auckland AUK 0630,-$0.47/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$1.99,False,- -$1.99,-Organic Baby Carrots - 1 Pound,Fresh Thyme Market,IA,,,226 Calle Río Colorado Oriente Del Valle NL 66220,-$1.99/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.49,False,- -$2.49,-Petite Carrots - 16 Ounce,Fresh Thyme Market,IA,,,16 Carrots Pasig NCR 1604,-$0.16/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.49,False,- -$6.49,-Via Emilia Steakhouse Fried Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,105 Calle de los Industriales Fraccionamiento Jurica QRO 76100,-$0.27/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Simply Potatoes Shredded Hash Browns - 20 Ounce,Fresh Thyme Market,IA,,,,-$0.20/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.99,False,- -$6.99,-Amy's Veggie Loaf With Potatoes & Vegetables - 10 Ounce,Fresh Thyme Market,IA,,,,-$0.70/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Reser's Scalloped Potatoes - 12 Ounce,Fresh Thyme Market,IA,,,12 Scallop Ln South Jamesport NY 11970-2033,-$0.25/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.49,False,- -$6.49,-Via Emilia Crinkled Fried Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,24 Via Emilia Fidenza 45 43036,-$0.27/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Edward & Sons Organic Roasted Garlic Mashed Potatoes - 3.5 Ounce,Fresh Thyme Market,IA,,, Two Borders Manitoba R0M,-$0.85/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Simply Potatoes Steakhouse Seasoned Diced Potatoes - 20 Ounce,Fresh Thyme Market,IA,,,1401 N Loop 1604 W San Antonio TX 78258,-$0.20/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$1.99,False,- -$1.99,-Idaho Potatoes Buttery Homestyle Mashed Potatoes - 4 Ounce,Fresh Thyme Market,IA,,,,-$0.50/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Edward & Sons Organic Homestyle Mashed Potatoes - 3.5 Ounce,Fresh Thyme Market,IA,,, Two Borders Manitoba R0M,-$0.85/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.49,False,- -$5.49,-Bob Evans Mashed Garlic Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,594 E 24th St Holland MI 49423,-$0.23/oz,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$2.99,False,- -$2.99,-Russet Potatoes 4 Pack - 1 Each,Fresh Thyme Market,IA,1 dz,,1 Russet Ln Huntington NY 11743-2255,,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$1.49,False,- -$1.49,-Idaho Potatoes Baby Red Mashed Potatoes - 4.1 Ounce,Fresh Thyme Market,IA,,,,-$0.36/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Organic Sunrise Medley Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,24 Younce Dr Burlington WV 26710,-$0.21/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.99,False,- -$5.99,-Cascadian Farm Organic Spud Puppies Shredded Potatoes - 16 Ounce,Fresh Thyme Market,IA,,,121 Upper Ganges Rd Ganges British Columbia V8K 2S2,-$0.37/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Organic Yukon Gold Potatoes 3 Lb Bag - 3 Pound,Fresh Thyme Market,IA,,,,-$1.33/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.49,False,- -$5.49,-Bob Evans Original Mashed Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,594 E 24th St Holland MI 49423,-$0.23/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Organic Ruby Sensation Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,24 Sensation Rd Rock Hill SC 29732-9760,-$0.21/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Organic Honey Gold Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,24 Honey Crk Fredericksburg TX 78624,-$0.21/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Organic Purple Potatoes - 24 Ounce,Fresh Thyme Market,IA,,,24 Prescot Street E1 England E1 8BB,-$0.21/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Idaho Russet Potatoes Bag - 5 Pound,Fresh Thyme Market,IA,,,,-$0.60/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Bag Yukon Gold Potatoes - 5 Pound,Fresh Thyme Market,IA,,,5 Pound Road Tonbridge ENG TN12 5AU,-$1.00/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$0.99 avg/ea,False,- -$0.99 avg/ea,-Russet Baking Potatoes - 1 Pound,Fresh Thyme Market,IA,,,1 Russet Ln Basking Ridge NJ 07920-3502,-$0.99/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$0.74 avg/ea,False,- -$0.74 avg/ea,-Red Rose Potatoes - 0.75 Pound,Fresh Thyme Market,IA,,,71 Red Rose Bracknell ENG RG42 5LJ,-$0.99/lb,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$0.74 avg/ea,False,- -$0.74 avg/ea,-Yukon Gold Potatoes - 0.75 Pound,Fresh Thyme Market,IA,,,75 Pound Road Tonbridge ENG TN12 5AZ,-$0.99/lb,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$1.49,False,- -$1.49,-Organic Green Onions - 1 Each,Fresh Thyme Market,IA,1 dz,,,,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Josie's Organic Baby Lettuces - 5 Ounce,Fresh Thyme Market,IA,,,2476 Walnut St Cary NC 27518,-$0.80/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-Bag Red Potatoes - 5 Pound,Fresh Thyme Market,IA,,,5 Pound Road Bristol ENG BS15 4RB,-$1.00/lb,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$2.00,False,- -$2.00,-Organic Living Butter Lettuce - 1 Each,Fresh Thyme Market,IA,1 dz,,Lettuce Ln New Smyrna Beach FL 32168,,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$1.61 avg/ea,False,- -$1.61 avg/ea,-Sweet Potatoes - 1.25 Pound,Fresh Thyme Market,IA,,,607 N Trade St Winston Salem NC 27101,-$1.29/lb,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$0.99,False,- -$0.99,-Green Onions - 1 Each,Fresh Thyme Market,IA,1 dz,,1 S Green Valley Rd Watsonville CA 95076,,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$2.99,False,- -$2.99,-Romaine Lettuce - 1 Each,Fresh Thyme Market,IA,1 dz,,W Terra Mar Dr Pompano Beach FL 33062,,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$2.99,False,- -$2.99,-Organic Red Leaf Lettuce - 1 Each,Fresh Thyme Market,IA,1 dz,,,,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$3.99,False,- -$3.99,-Organic Iceberg Lettuce - 1 Each,Fresh Thyme Market,IA,1 dz,,Lettuce Ln New Smyrna Beach FL 32168,,,50266
2900 University Ave. Suite 240,1.0,,West Des Moines,- -$2.49,False,- -$2.49,-Green Leaf Lettuce - 1 Each,Fresh Thyme Market,IA,1 dz,,1 Greenleaf Dr Huntington NY 11743-4814,,,50266
