address,amount_in_dz,brand,city,current_price,localToIowa,original_price,product,source,state,true_amount,vendor,vendorAddress,weight,weight_lbs,zip
200 Railroad Street,,Patchwork Green Farm,Decorah,$2.50,True,,"PGF Head Lettuce, soil-grown",Iowa Food Hub,IA,,Patchwork Green Farm,3031 Middle Hesper Rd Decorah IA 52101,,,52101
200 Railroad Street,,Patchwork Green Farm,Decorah,$1.75,True,,"PGF Mini - Head Lettuce, soil-grown",Iowa Food Hub,IA,,Patchwork Green Farm,3031 Middle Hesper Rd Decorah IA 52101,,,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$32.00,True,,"IFH Sweet Potatoes, Orange, 40lb case,",Iowa Food Hub,IA,,Iowa Food Hub,500 Main Ave Clear Lake IA 50428,40 lb,40,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$7.50,True,,"IFH Potatoes, Red, 10lb bag",Iowa Food Hub,IA,,Iowa Food Hub,500 Main Ave Clear Lake IA 50428,10 lb bag,10,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$5.00,True,,"IFH Sweet Potatoes, Orange, 3 lbs",Iowa Food Hub,IA,,Iowa Food Hub,500 Main Ave Clear Lake IA 50428,3 lb,3,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$5.00,True,,"IFH Driftless Organics Potatoes, various",Iowa Food Hub,IA,,Iowa Food Hub,500 Main Ave Clear Lake IA 50428,2 lb bag,2,52101
200 Railroad Street,,Patchwork Green Farm,Decorah,$5.00,True,,PGF New Yellow Potatoes,Iowa Food Hub,IA,,Patchwork Green Farm,3031 Middle Hesper Rd Decorah IA 52101,,,52101
200 Railroad Street,,Winneshiek Beef Pork & Poultry,Decorah,$22.00,False,,WBP Pork Bacon,Iowa Food Hub,IA,,Winneshiek Beef Pork & Poultry,51 N 12th St Philadelphia PA 19107,3 lb,3,52101
200 Railroad Street,,Sweet Season Farm,Decorah,$3.00,False,,"SSF  Romaine Lettuce, 1 head",Iowa Food Hub,IA,,Sweet Season Farm,77 Liberty Rd Washington ME 04574,,,52101
200 Railroad Street,,Iowa Food Hub,Decorah,$5.00,True,,"IFH - Raspberries, red, 1/2 pints",Iowa Food Hub,IA,,Iowa Food Hub,500 Main Ave Clear Lake IA 50428,,,52101
200 Railroad Street,,Sweet Season Farm,Decorah,$4.00,False,,"SSF Carrots, various",Iowa Food Hub,IA,,Sweet Season Farm,77 Liberty Rd Washington ME 04574,2 lb bag,2,52101
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Raspberries - 6 Ounce,Fresh Thyme Market,IA,,,,-$0.67/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$5.69,False,- -$5.69,-Godshalls Uncured Pork Bacon - 8 Ounce,Fresh Thyme Market,IA,,,8 Bacon St Bethelsdorp EC 6059,-$0.71/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.49,False,- -$6.49,-Delallo Italian Garlic Mushrooms - 7 Ounce,Fresh Thyme Market,IA,,,6390 State Route 30 Jeannette PA 15644,-$0.93/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$6.29,False,- -$6.29,-Napoleon Marinated Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,8 Napoleon St Melbourne VIC 3066,-$0.79/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Shitake Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Porcini Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Portabella Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,5 Portabella Dr Hardeeville SC 29927-4945,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-That's Tasty Dried Forest Blend Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,5 Mushroom Ln Albrightsville PA 18210,-$7.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$3.99,False,- -$3.99,-Highline Organic White Stuffer Mushrooms - 14 Ounce,Fresh Thyme Market,IA,,,14th Ave SW Seattle WA 98106,-$0.28/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$11.99,False,- -$11.99,-That's Tasty Dried Morel Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,,-$23.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.99,False,- -$2.99,-Highline Organic Sliced Bella Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,, Burien WA 98168,-$0.37/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$4.99,False,- -$4.99,-That's Tasty Dried Chanterelle Mushrooms - 0.5 Ounce,Fresh Thyme Market,IA,,,5 Chanterelle Dr Conception Bay South NL A1W,-$9.98/oz,,50266
2900 University Ave. Suite 240,,,West Des Moines,- -$2.69,False,- -$2.69,-Highline Organic Sliced White Mushrooms - 8 Ounce,Fresh Thyme Market,IA,,,8th Ave SW Seattle WA 98146,-$0.34/oz,,50266
